Campus,Curso,Periodo_dia,Horario,Semestre,Dia,Periodo_Aula,Tipo_Curso,Materia,Professor,Observacao,Semestre_Curso
MIRASOL,EAQ,MANHA,2.0,3.0,QUINTA,MATUTINO,INTEGRAL MT,FISICA GERAL,VIRNEI,,3_EAQ
MIRASOL,EAQ,MANHA,3.0,3.0,QUINTA,MATUTINO,INTEGRAL MT,FISICA GERAL,VIRNEI,,3_EAQ
MIRASOL,EAQ,MANHA,4.0,3.0,QUINTA,MATUTINO,INTEGRAL MT,FISICA GERAL,VIRNEI,,3_EAQ
MIRASOL,EAQ,MANHA,1.0,3.0,SEXTA,MATUTINO,INTEGRAL MT,EXPRESSAO GRAFICA,FARIA,,3_EAQ
MIRASOL,EAQ,MANHA,2.0,3.0,SEXTA,MATUTINO,INTEGRAL MT,EXPRESSAO GRAFICA,FARIA,,3_EAQ
MIRASOL,EAQ,MANHA,3.0,3.0,SEXTA,MATUTINO,INTEGRAL MT,EXPRESSAO GRAFICA,FARIA,,3_EAQ
MIRASOL,EAQ,MANHA,4.0,3.0,SEXTA,MATUTINO,INTEGRAL MT,EXPRESSAO GRAFICA,FARIA,,3_EAQ
MIRASOL,EAQ,MANHA,1.0,5.0,SEGUNDA,MATUTINO,INTEGRAL MT,MICROBIOLOGIA,LUCIENE,,5_EAQ
MIRASOL,EAQ,MANHA,2.0,5.0,SEGUNDA,MATUTINO,INTEGRAL MT,MICROBIOLOGIA,LUCIENE,,5_EAQ
MIRASOL,EAQ,MANHA,3.0,5.0,SEGUNDA,MATUTINO,INTEGRAL MT,NAVEGACAOOPT,RODOLFO,OPTATIVA,5_EAQ
MIRASOL,EAQ,MANHA,4.0,5.0,SEGUNDA,MATUTINO,INTEGRAL MT,NAVEGACAOOPT,RODOLFO,OPTATIVA,5_EAQ
MIRASOL,EAQ,MANHA,1.0,5.0,TERCA,MATUTINO,INTEGRAL MT,TOPOGRAFIA,BERNARDINO,,5_EAQ
MIRASOL,EAQ,MANHA,2.0,5.0,TERCA,MATUTINO,INTEGRAL MT,TOPOGRAFIA,BERNARDINO,,5_EAQ
